Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FS","Données de la sécurité alimentaire","2","Afghanistan","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","8.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","202","Afrique du Sud","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","2.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","3","Albanie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","4","Algérie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","79","Allemagne","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<2","Moins de 2 millions de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","6","Andorre","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","7","Angola","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","8","Antigua-et-Barbuda","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","194","Arabie saoudite","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","9","Argentine","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","1","Arménie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","10","Australie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.6","Moins de 600 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","11","Autriche","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","52","Azerbaïdjan","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","12","Bahamas","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","13","Bahreïn","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","16","Bangladesh","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","26.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","14","Barbade","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","57","Bélarus","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","255","Belgique","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.3","Moins de 300 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","23","Belize","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","53","Bénin","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","17","Bermudes","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","18","Bhoutan","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","19","Bolivie (État plurinational de)","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","2.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","80","Bosnie-Herzégovine","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","20","Botswana","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","21","Brésil","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<5.1","Moins de 5.1 millions de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","26","Brunéi Darussalam","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","27","Bulgarie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","233","Burkina Faso","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","3.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","29","Burundi","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","35","Cabo Verde","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","115","Cambodge","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","2.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","32","Cameroun","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","33","Canada","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.9","Moins de 900 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","40","Chili","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","351","Chine","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","137.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","96","Chine - RAS de Hong-Kong","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","128","Chine - RAS de Macao","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","41","Chine, continentale","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","136.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","214","Chine, Taiwan Province de","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","50","Chypre","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","44","Colombie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","4.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","45","Comores","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","46","Congo","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.8","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","48","Costa Rica","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","107","Côte d'Ivoire","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","4.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","98","Croatie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","49","Cuba","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.3","Moins de 300 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","54","Danemark","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","72","Djibouti","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","55","Dominique","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","59","Égypte","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","3.9","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","60","El Salvador","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","225","Émirats arabes unis","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","58","Équateur","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","178","Érythrée","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","203","Espagne","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<1.2","Moins de 1.2 million de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","63","Estonie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","209","Eswatini","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","231","États-Unis d'Amérique","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<7.9","Moins de 7.9 millions de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","238","Éthiopie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","25.5","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","185","Fédération de Russie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<3.6","Moins de 3.6 millions de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","66","Fidji","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","67","Finlande","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","68","France","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<1.6","Moins de 1.6 million de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","74","Gabon","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","75","Gambie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","73","Géorgie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","81","Ghana","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.7","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","84","Grèce","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.3","Moins de 300 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","86","Grenade","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","85","Groenland","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","89","Guatemala","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","2.6","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","90","Guinée","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.9","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","61","Guinée équatoriale","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","175","Guinée-Bissau","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","91","Guyana","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","93","Haïti","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","5.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","95","Honduras","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","1.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","97","Hongrie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","47","Îles Cook","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","127","Îles Marshall","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","NV","Non disponible"
"FS","Données de la sécurité alimentaire","25","Îles Salomon","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","100","Inde","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","213.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","101","Indonésie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","19.1","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","102","Iran (République islamique d')","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","4.2","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","103","Iraq","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","9.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","104","Irlande","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","99","Islande","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","105","Israël","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.2","Moins de 200 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","106","Italie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<1.5","Moins de 1.5 million de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","109","Jamaïque","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","110","Japon","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<3.2","Moins de 3.2 millions de personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","112","Jordanie","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.9","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","108","Kazakhstan","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.4","Moins de 400 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","114","Kenya","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","9.3","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","113","Kirghizistan","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","0.4","F","Estimation FAO"
"FS","Données de la sécurité alimentaire","83","Kiribati","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
"FS","Données de la sécurité alimentaire","118","Koweït","6132","Valeur","21001","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20122014","2012-2014","millions","","<0.1","Moins de 100 000 personnes sont sous-alimentées"
